joint_outcome,index,bundle_id,true_option_char,hit_count,input_str,target_str,primary_tag,secondary_tags,gt_plausibility,distractor_hardness,evidence,primary_rule_tag,prediction_base,hit_base,prediction_co_occur,hit_co_occur,prediction_user_prefer,hit_user_prefer
all_hit,239,9622,A,3,1. 2019夏季新款女装运动polo领连衣裙短袖t恤小清新休闲荷叶边裙子; 2. 勿上热风秋季学院风甜美女士系带休闲透气鞋圆头小白鞋H14W8501,A. Danielwellington 丹尼尔惠灵顿dw手表女32mm金属编织女表; B. 凡舒的店 春夏季新款韩版宽松中长款字母印花不规则半袖T恤女上衣; C. 高腰半身裙女香影2018春秋装新款时尚气质修身显瘦单排扣直筒裙潮; D. 素缕2019夏装新款女文艺宽松显瘦裤子灯笼裤九分裤休闲裤SC8260竸; E. 手表女学生简约ins风学院森女系森百搭复古防水气质轻奢小众女表; F. 【南风】毛绒链条包包女2019新款秋冬女包挎包斜挎包单肩包真兔毛; G. 白色连帽带耳朵戴帽卫衣女2018新款怪味少女可爱萌系衣服外套春秋; H. 牛仔背带裙女春季2019新款宽松韩版潮bf百搭原宿风学生裙子外套女; I. 林珊珊自留推荐秋装季心机露腰九分裤子修身显瘦弹力小脚牛仔裤女; J. 卡通亮片招财猫刺绣螺纹翻领polo裙T恤裙连衣裙,style_theme_match,"[""category_completion""]",3.0,3.0,"The input outfit is a casual, preppy, and fresh style (polo dress and white sneakers). The ground-truth watch (DW) aligns with the minimalist, clean, and feminine aesthetic of the outfit, whereas other candidates like heavy winter bags or mismatched clothing items disrupt the cohesive style.",cooccurrence_shortcut,A,1,A,1,A,1
all_hit,10,24350,E,3,1. 甜美木耳边蝴蝶结飘带领松紧腰印花连衣裙; 2. 2018新款迷你三格戴妃包 真皮羊皮菱格单肩手提 mini斜挎链条女包,A. 秘密盒子可诉 格调新款时尚简约字母印花纯棉黑色内搭上衣T恤女; B. 2018夏秋季新款真皮粗跟凉拖水钻方扣高跟鞋拖鞋一字拖中跟女鞋子; C. 秋冬季2018新款韩版豆豆鞋女平底百搭外穿毛毛单鞋网红加绒棉瓢鞋; D. 2018秋冬新款女鞋尖头低跟系带短靴真皮英伦风平底马丁靴女靴裸靴; E. St&amp;Sat/星期六春秋商场同款扣饰尖头高跟单鞋女鞋SS73111484; F. 1313 秋冬磨毛包臀半身裙女 黑色不规则修身显瘦A字短裙2019新款; G. 秋季女2018新款衣秋装复古温柔风初秋女装长袖连衣裙法式少女裙秋; H. 钉珠桃心小心机单侧露肩T恤裙条纹连衣裙k; I. 【南风】信封包链条包斜跨包包女2018新款韩版百搭时尚单肩女包潮; J. Vero Moda夏季新款金色网纱百褶半身裙|318216531,category_completion,"[""style_theme_match""]",4.0,3.0,"The input consists of a dress and a handbag; the ground-truth item is a pair of elegant high-heeled shoes that completes the outfit's functional requirements for footwear, matching the formal/sweet aesthetic of the dress.",cooccurrence_shortcut,E,1,E,1,E,1
all_hit,105,21102,B,3,1. 勿上热风秋季学院风甜美女士系带休闲透气鞋圆头小白鞋H14W8501; 2. 聚利时女士手表学生韩版简约时尚防水石英表钢带手表女ins风气质,A. 网红毛衣女开衫2018秋装新款宽松韩版学生中长款针织衫外套女装冬; B. chic小包包女2019新款潮单肩港风斜挎小方包韩版宽带百搭复古女包; C. 素作帆布包 女单肩2018新款森系文艺ins包包简约轻便购物袋大容量; D. 网红穆勒毛毛鞋2018秋新款chic复古女包头懒人兔毛半拖鞋时尚外穿; E. 透明包包女chic链条包 学生斜挎简约小方包仙女小众设计亚克力包; F. 2019新款春季高跟鞋女细跟百搭法式少女网红性感绒面黑色单鞋; G. DIN韩版夏装新款薄款天丝棉浅蓝色牛仔阔腿裤垂感宽松九分裤女; H. LOSEA 迷你蝴蝶结马鞍包包女2018新款单肩斜挎包小包网红同款女包; I. 提花几何图案立领气质高腰蓬蓬连衣裙O; J. achette雅氏4KK0 2018春夏款女鞋尖头高跟短靴袜子鞋,style_theme_match,"[""category_completion""]",4.0,3.0,"The input items (college-style sneakers and minimalist watch) define a casual, youthful, and trendy aesthetic. The ground-truth bag (chic, retro, Korean-style) aligns with this specific 'ins' and 'chic' fashion mood, while other candidates are either mismatched in style or redundant.",cooccurrence_shortcut,B,1,B,1,B,1
all_hit,241,5154,J,3,1. 【南风】真皮绣线链条包包女2019新款秋冬时尚女包单肩包斜挎包女; 2. 2019新款春季高跟鞋女细跟百搭法式少女网红性感绒面黑色单鞋,A. 安小落2019夏季新款女装文艺清新气球印花t恤女短袖百搭套头上衣; B. 性感一字肩长裙2019夏装新款气质名媛超仙亮丝吊带挂脖连衣裙女夏; C. 运动鞋女2018秋季新款韩版休闲真皮原宿老爹鞋松糕厚底高跟跑步鞋; D. 欧洲站哑光纯羊皮拼接皮裤绵羊皮女九分小脚2019新款大码打底裤冬; E. 日本羊毛礼帽凹造型大檐黑色毡帽秋冬英伦复古爵士帽子m宽檐呢帽; F. 地球店格子百褶裙女秋冬2018新款蓬蓬半身裙高腰a字俏皮可爱短裙; G. v领毛衣女毛 针织衫外套春装2019新款修身长袖开衫上衣春秋拼色; H. 2019新款ins衬衣港风韩范学生白色宽松短袖蕾丝衬衫娃娃心机上衣; I. 哈森 冬季羊皮绒时尚流苏靴尖头女靴 侧拉链细高跟踝靴女HA65802; J. 复古少女心金箔亚克力耳环女韩国气质长款个性纯银耳坠耳饰R014,category_completion,"[""style_theme_match""]",3.0,2.0,"The input consists of a handbag and high heels; the ground-truth item (earrings) serves as a complementary accessory to complete the outfit, fitting the 'French/girly' aesthetic established by the heels.",cooccurrence_shortcut,J,1,J,1,J,1
all_hit,3,14200,H,3,1. 【南风】复古流浪包包女2019新款时尚百搭简约女包单肩斜挎链条包; 2. 特价清仓不退换/高领针织衫连衣裙直筒内搭打底显瘦毛衣裙子女,A. 设计师品牌低帮休闲街头潮流透气舒适真牛皮运动板鞋球鞋男女鞋; B. 防晒衣女仙女夏季中长款超薄宽松韩版学生空调衫外套针织冰丝开衫; C. 很仙的连衣裙女春夏白色一字肩度假裙名媛派对网纱裙子短款小礼服; D. Koradior/珂莱蒂尔品牌女装2018冬装新款印花休闲高腰修身连衣裙; E. 新款个性耳环纯银趣味金色星球韩国火箭时尚夸张不对称潮人耳钉女; F. 特 MintCheese独立设计 复古少女感 温柔粉色飘带领刺绣上衣; G. 珍珍新款韩版学生显瘦高腰不规则割破牛仔裤女2018秋季九分裤子潮; H. 网红瘦瘦靴粗跟短靴女2018秋冬新款百搭后拉链靴子英伦中跟马丁靴; I. 金狐狸迷你小包包2019百搭新款简约单肩包斜挎包女包韩版小方包潮; J. 接吻猫2018新款休闲镂空厚底小白鞋深口单鞋女DA98184-P4,season_match,"[""category_completion""]",4.0,2.0,"The input includes a high-neck knitted sweater dress, which is a winter item. The ground-truth boots are explicitly labeled as 2018 autumn/winter new arrivals, making them the most seasonally appropriate choice to complete the outfit.",cooccurrence_shortcut,H,1,H,1,H,1
all_hit,44,26571,C,3,1. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品; 2. 【QC】MIUCO卡通狗印花翻领polo裙T恤裙休闲时尚连衣裙k,A. 也桃 欧美原创几何极简耳环925银耳钉无耳洞耳夹气质三角圆形耳饰; B. 2018新秋冬百搭舒适ins小皮鞋复古黑色圆头单鞋女 中跟 大头鞋; C. 勿上热风秋款学院风女士系带圆头休闲鞋平底小白鞋H14W8105; D. 高腰紧身薄绒皮裤女九分2018新款秋冬弹力显瘦小脚提臀磨砂打底裤; E. 瘦瘦靴马丁靴女二棉真皮学生加绒纯皮靴子女2018新款大码短靴鞋冬; F. 羊羔毛毛鞋女秋冬季韩版新款瓢鞋加绒保暖平底懒人金属扣豆豆单鞋; G. GENANX原创设计师潮牌羊毛大衣男青年长款休闲冬季外套男士风衣; H. 热风2018年夏季新款女士坡跟凉鞋女学生休闲露趾百搭女鞋H55W8202; I. 熊猫本 条纹t恤男短袖情侣装夏装海魂衫日系潮圆领宽松黑白体恤男; J. LIL CHER原宿风高腰直筒牛仔裤女春秋2018新款韩版显瘦chic风裤子,style_theme_match,"[""category_completion""]",4.0,2.0,"The input is a casual, feminine polo dress. The ground-truth white sneakers (C) align with the 'college/casual' style theme of the dress, whereas other options are either seasonal mismatches (winter boots/coats) or style mismatches.",cooccurrence_shortcut,C,1,C,1,C,1
all_hit,50,244,C,3,1. 新款百搭渔夫帽羊毛呢面日系可折叠针织韩版盆帽子女士春秋季青年; 2. 【南风】黑色极简小方包2018新款时尚简约女包单肩包斜挎包小包包,A. 蕾丝连衣裙2019新款夏网纱裙中长款气质甜美显瘦重工刺绣仙女裙; B. 小白鞋女2019春款韩版网红洋气超火夏季百搭潮鞋透气厚底显瘦脚小; C. A7seven复古麻花大V领长袖套头毛衣女秋冬韩版学生百搭纯色针织衫; D. MONA 一字肩连衣裙女夏2018新款高腰玫红色宽松泡泡袖气质长裙子; E. 三彩2018夏装新品 连体裤条纹连衣短裤阔腿裤街拍裤子女潮宽松; F. 恰若春夏季新品真皮凉鞋牛皮包头细跟尖头女鞋子交叉绑带包跟甜美; G. 小香风泡泡袖连衣裙女春2019春装新款名媛小个子白色蝴蝶结娃娃裙; H. 原创布衣酱冬装女2018新款可爱甜美少女大毛领棉衣女短款学小棉袄; I. 雪地靴女2018新款冬季加绒保暖棉鞋防滑平底短筒后跟系带真皮短靴; J. 秋季BF风原宿港味灰黑色牛仔裤女宽松九分大码香蕉学生萝卜哈伦裤,season_match,"[""category_completion""]",4.0,2.0,The input items (wool bucket hat and black shoulder bag) suggest a cool-weather outfit; the ground-truth knit sweater matches the autumn/winter season and completes the clothing category.,cooccurrence_shortcut,C,1,C,1,C,1
all_hit,56,18979,A,3,1. 一力米灰过膝长靴女2018冬季新款尖头高跟粗跟长筒靴弹力显瘦瘦靴; 2. 衣品乐原创大码韩版格子拼接连帽棉服女中长款冬装棉衣袄子Q390,A. 【南风】复古流浪包包女2019新款时尚百搭简约女包单肩斜挎链条包; B. 2018春装新款韩版连帽针织衫宽松毛衣女假两件长袖罩衫上衣红色潮; C. 玛玛绨2018夏装新款欧美潮牌bf风印花字母蓝色t恤女短款百搭上衣; D. 芮时 女人味十足的混色格纹荷叶边高腰小A短裙女; E. 三彩2018夏装新品 两穿一字领印花雪纺短裤喇叭袖松紧腰连衣裤女; F. 【悦大人】宽肩带徽章牛皮包包女2019新款单肩斜跨小方包真皮女包; G. StuckB咸鱼共和国丨软妹日系文艺风小皮鞋女JK制服鞋学生浅口米色; H. 冷淡风裙白色V领雪纺连衣裙超仙女夏2018新款中长公主裙吊带套装@; I. 太平鸟男装 黑色男士冬季高领毛衫刺绣毛线衫男士毛衣BWEB74374; J. FURLA/芙拉女款 黑红拼色牛皮单肩/斜挎包 BJN5 现货 瑕疵特卖,category_completion,"[""style_theme_match""]",4.0,2.0,"The input consists of winter outerwear and boots; the ground-truth bag completes the outfit as an accessory, while other candidates are either seasonal mismatches (summer items) or gender mismatches.",popularity_shortcut,A,1,A,1,A,1
all_hit,58,16174,F,3,1. 衣品乐原创大码百搭显瘦直筒牛仔裤休闲长裤女2018春秋装新款K984; 2. 衣品乐原创大码前短后长套头短袖衬衫胖MM女装衬衣上衣夏装M240,A. 羊羔毛外套女短款2018冬季新款麂皮绒棉服夹克加厚工装棉服机车服; B. 生姜原创女装禅意茶服新中式立领文艺复古改良旗袍连衣裙11721630; C. 单鞋女平底2019春季新款真皮踩跟鞋小皮鞋方头懒人鞋米白色蝴蝶结; D. MG小象时尚外套女短款2019春季新款韩版学生宽松港味复古chic上衣; E. Ayuko 春秋新款西裤女高腰修身休闲直筒裤松紧腰百搭西装裤子女; F. ins小白鞋女春季百搭基础皮面学生鞋子平底单鞋真皮板鞋女鞋休闲; G. HAVE RICE饭馆 撩人淡丁香紫工装风连体裤 春款女; H. 破洞牛仔裤女春装2019新款韩版显瘦女装九分紧身小脚铅笔裤子女裤; I. 流苏斗篷毛衣女秋冬2018新款蝙蝠衫外套小高领宽松加厚套头针织衫; J. FENDAS中长款高腰圆领气质名媛不规则拼接刺绣无袖修身连衣裙女夏,category_completion,"[""style_theme_match""]",4.0,2.0,"The input consists of a top and pants, creating a functional gap for footwear. The ground-truth white sneakers provide a casual, versatile finish that complements the casual style of the jeans and shirt.",popularity_shortcut,F,1,F,1,F,1
all_hit,102,3931,D,3,1. 梅子熟了 内搭针织连衣裙女过膝半高领毛衣裙中长款2018秋冬新款; 2. 小瑞靓包拼色菱格包包女2019新款简约百搭斜挎包单肩包小包包女包,A. 小虫 阿尔巴斯羊绒 百搭腰带中长款保暖针织开衫女2019新款春秋; B. 勿上热风2018年春新款小清新系带女士休闲鞋深口小白鞋潮H13W8128; C. 希野2018新款宫廷复古港味白色露肩性感V领漏锁骨衬衫女上衣; D. 帽子女秋冬贝雷帽女韩版日系百搭画家帽女 毛呢帽八角帽南瓜帽子; E. 欧美马丁靴女2018新款时装白色高跟细跟小方头裸靴水晶酒杯跟短靴; F. BJHG春季欧美街头OVERSIZE宽松纯色蝙蝠袖情侣连帽套头卫衣男外套; G. 张景亦 冬季新款韩版宽松哈伦裤女高腰休闲裤萝卜裤显瘦小脚裤子; H. XC 温暖冬季CP 加绒高腰chic阔腿裤宽松米白色牛仔裤女九分哈伦裤; I. 2018春装女装新款高腰显瘦休闲裤女纯色短裤时尚简约a字阔腿裤子; J. 【西木汀】小众设计包包女2019新款单肩拼色马鞍包宽肩带斜挎小包,season_match,"[""category_completion""]",4.0,2.0,"The input items are explicitly labeled as autumn/winter pieces (knitted dress, 2019 bag), and the ground-truth wool beret is a seasonal accessory that completes the winter look.",cooccurrence_shortcut,D,1,D,1,D,1
all_hit,108,26698,J,3,1. 林珊珊2019春季新款女装法式赫本中长款气质针织拼接网纱连衣裙子; 2. 整皮毛一体水貂毛毛鞋字母金属加绒乐福鞋棉瓢鞋懒人网红白色女鞋,A. 原创森女部落小清新牛仔外套宽松学生韩版bf2019新款秋秋学院风系; B. 正品名牌手表女机械表全自动潮流女款时尚带钻红色真皮带女士手表; C. 非谜平底凉鞋女夏2018新款时尚百搭一字扣带珍珠平跟夹脚凉鞋; D. 阿曼苏粉色羊绒衫女套头秋冬新款圆领打底衫毛衣宽松显瘦A7Q15014; E. 子晴网红毛衣裙2019春装新款宽松网纱裙很仙的法国小众网纱连衣裙; F. 罗马夹趾凉鞋女夏2018新款女平底韩版学生沙滩珍珠平跟夹脚凉鞋女; G. 皮毛一体外套女公子2019新款短款加厚长袖宽松学生气质春夹克上衣; H. 黑色晚礼服2019新款春夏一字肩宴会小礼服短款女生日派对连衣裙子; I. 网纱波点裙+小狗印花吊带连衣裙两件套; J. AI 法式复古贝雷帽 羊毛含量高达90% 秋冬女画家帽毛呢南瓜帽子,style_theme_match,"[""category_completion""]",4.0,2.0,The input outfit features a French-style Hepburn dress and fur-lined loafers; the beret reinforces the 'French vintage' aesthetic established by the dress.,cooccurrence_shortcut,J,1,J,1,J,1
all_hit,119,5664,F,3,1. 欧洲风格站2018秋冬新款女鞋牛皮灯芯绒刺绣平底单鞋小皮鞋洋气款; 2. 朴正义2018秋季新款韩版黑色chic港味一步裙中长款显瘦半身裙子女,A. NOTHOMME日系潮牌宽松版压胶拉链装饰套头卫衣男款花灰色ifashion; B. 茵曼女装新款连衣裙夏小清新条纹假两件背带裙女中长裙修身裙子; C. casio旗舰店SHS-4521防水女士太阳能手表卡西欧官网sheen官方正品; D. 手表女韩版简约气质方形款休闲大气运动网红时尚潮流女士防水女表; E. 春季单靴中筒靴春秋百搭粗跟半筒瘦瘦靴尖头高跟中靴弹力短靴子女; F. ins网红贝雷帽女春秋韩版日系百搭画家帽黑色英伦八角帽女帽子夏; G. 雪地靴女羊皮毛一体2018新款冬季中筒靴子平底真皮保暖学生棉鞋冬; H. 对白2018秋冬新款 字母绣花半高领T恤女 休闲棉质长袖直筒打底衫; I. 宿本法式复古裙过膝2019春秋新款蕾丝chic温柔仙女裙高腰连衣裙女; J. 九月陌墨 2019夏季新款女装印花半袖T恤女 韩版休闲宽松体恤,style_theme_match,"[""category_completion""]",4.0,2.0,"The input outfit features a European-style leather shoe and a chic, Hong Kong-style skirt; the beret (ground truth) reinforces the 'chic' and 'ins-style' aesthetic better than the other candidates.",popularity_shortcut,F,1,F,1,F,1
all_fail,1,21401,H,0,1. 正品冠琴手表男士超薄真皮带男表 非机械表时尚防水石英表潮流; 2. 沙滩帽女巴拿马草帽遮阳帽夏小清新海边海滩帽太阳帽度假防晒帽子,A. 热风2018夏新款小清新女士软木拖鞋外穿平底休闲一字拖潮H60W8207; B. 韩都衣舍2018女装韩版夏装新款显瘦牛仔裙短裙A字半身裙IG6888僥; C. 初语春秋新款圆领宽松百搭质感条纹长袖T恤女大码打底衫上衣; D. 【限时特卖】CASSILE牛皮时尚百搭信封链条包钻扣单肩斜挎包; E. 韩版休闲短裤女式2019夏装新款百搭修身学生卷边运动直筒裤子原宿; F. 子晴拼色中长款双面尼羊毛大衣女冬装2018新款两面穿毛呢外套; G. 希野2019夏季新款露背吊带荷叶边百褶chic超仙少女裙收腰连衣裙; H. 【11.11零点6折清仓】衣品乐大码中长款针织拼接棉麻印花连衣裙; I. 金米欧Kimio时尚潮流防水女士手表学生简约学院风大气腕表石英表; J. 闺格原创蓝白竖条纹衬衫女2018新款长袖春装宽松韩范圆领系带上衣,style_theme_match,"[""category_completion""]",3.0,3.0,"The input combines a men's watch and a women's beach hat, creating a disjointed set; the ground truth is a casual, loose-fitting dress that attempts to bridge a relaxed, vacation-ready aesthetic, though the overall bundle remains stylistically inconsistent.",weak_or_no_rule_signal,D,0,D,0,D,0
all_fail,19,2765,F,0,1. 女装夏装2018新款镂空蕾丝连衣裙女夏季不规则温柔仙女裙收腰裙子; 2. 唐嫣同款Givenchy/纪梵希单钻项链女锁骨链首饰品百搭玫瑰金,A. 靴子女2018秋冬新款金属链guidi短靴真皮平底网红同款切西尔靴; B. 高筒靴女2019新款欧美时尚网红长靴子前拉链方头粗跟高跟马丁靴潮; C. 于momo2018兔耳朵设计款围巾式阿尔巴卡羊毛双面呢大衣女; D. 百搭瘦瘦靴平底小短靴女2018秋冬季新款粗跟马丁靴子加绒棉鞋女鞋; E. 英国Daisy London手工雏菊925银耳钉女 10mm镀金菊花耳环饰品礼物; F. 七亚水立方999纯银手镯女学生韩版手环2017新款足银饰品森系镯子; G. 复古v领雪纺三件套汉服改良连衣裙碎花仙女裙2019新款女装春装; H. 罗家RMOJUL 半开领荷叶边波点雪纺连衣裙 少腰带 介意勿拍SPJ; I. S925镀18K玫瑰彩金锁骨链简约时尚生日礼物四叶草项链女吊坠ins; J. 青蔷薇2019夏季打底衫短袖条纹上衣学生海魂衫宽松休闲圆领T恤女,style_theme_match,"[""category_completion""]",3.0,3.0,"The input outfit features a delicate, fairy-like lace dress and a feminine necklace; the ground-truth silver bracelet complements this 'fairy/森系' aesthetic, whereas other candidates are either seasonal mismatches or stylistic clashes.",weak_or_no_rule_signal,E,0,E,0,E,0
all_fail,27,2115,D,0,1. 阁楼花开秋冬蕾丝连衣裙韩版学生黑色甜美中长款拼接长袖打底衫女; 2. 沙滩帽女巴拿马草帽遮阳帽夏小清新海边海滩帽太阳帽度假防晒帽子,A. nini 微微收腰款炒鸡时髦气质碎花长裙内搭长袖雪纺连衣裙女秋冬; B. 月光石耳钉 天然蓝月光耳饰品 迷你猫爪 小耳钉 925纯银简约饰品; C. MG小象格子收腰连衣裙女秋新款中长款学院风长袖小清新拼接裙子潮; D. honeyGIRL春季真皮女鞋方扣小皮鞋踩脚懒人鞋子平底单鞋女乐福鞋; E. 勿上热风2018年女士休闲单鞋圆头小皮鞋女学院风平底鞋H20W8501; F. 秋冬韩版百搭贝雷帽日系甜美可爱白色画家帽英伦复古羊毛帽子女春; G. 周大力二棉鞋女学生韩版百搭2018新款加绒板鞋秋冬女鞋冬季小白鞋; H. COTRE 独立设计 格子橘 复古大裙摆羊毛呢料连衣裙长袖显瘦冬2017; I. Armani阿玛尼满天星皮带镶钻手表 时尚女士饰品礼盒套装AR80011; J. FURNA花纳 复古工装风绑带显瘦环保皮衣外套夹克 口袋猎装外套 女,category_completion,"[""style_theme_match""]",3.0,3.0,"The input consists of a dress and a hat; the ground-truth item (loafers) completes the outfit by adding footwear, which is a functional gap, while maintaining a casual/student aesthetic.",weak_or_no_rule_signal,B,0,F,0,F,0
all_fail,31,8966,J,0,1. Danielwellington 丹尼尔惠灵顿dw手表女32mm金属编织女表; 2. 韩国露娜网红仿珍珠耳环 女式气质长款耳坠新款ins耳钉韩版耳饰品,A. 帽子女夏天遮阳帽韩版百搭防紫外线遮脸户外渔夫帽太阳出游防晒帽; B. ALCLOSET 定制高腰弹力鱼尾裙荷叶边包臀半身裙春夏新款; C. 2018春装新款韩版连帽针织衫宽松毛衣女假两件长袖罩衫上衣红色潮; D. 貉子毛慵懒宽松气质高领外穿毛衣女冬季百搭羊毛加厚套头外套; E. 月老家 街头潮牌嘻哈黑白撞色拼接宽松长袖牛仔外套女秋2019春款; F. 小黑包女春季网红菱形小香风菱格链条女包包2019新款时尚百搭个性; G. MG小象蕾丝衬衫女长袖秋季2018新款灯笼袖chic小清新上衣港味衬衣; H. 豹纹加绒两面穿仿羊羔毛外套女宽松加厚夹克大衣短款冬季2018新款; I. 韩都衣舍2018新款女装春装韩版显瘦蕾丝拼接荷叶边连衣裙RW7633瑒; J. 俏皮可爱女孩印花荷叶摆显瘦条纹连衣裙,style_theme_match,"[""category_completion""]",3.0,3.0,"The input items (DW watch and pearl earrings) suggest a feminine, elegant, and polished aesthetic. The ground-truth dress aligns with this 'cute/feminine' style, whereas many distractors are casual, streetwear, or winter-specific items that clash with the refined accessories.",weak_or_no_rule_signal,F,0,F,0,F,0
all_fail,120,23986,F,0,1. TAKIYA 夏装2017新款 凉快又好穿松紧腰纯色光板A字短裤女; 2. 勿上热风秋季学院风甜美女士系带休闲透气鞋圆头小白鞋H14W8501,A. Lion~消失的爱人 丝绒感起绒拉毛纯羊毛呢平顶直筒宽檐礼帽黑色; B. 函夏 2018年新款包包女 粉色真皮单肩半圆马鞍包 宽肩带斜挎; C. 法式复古气质长裙维多利亚桔梗法国山本女春秋过膝衬衣衬衫连衣裙; D. 超好看！~ 2019早春新款尖头珍珠高跟鞋女包头细跟性感名媛凉鞋女; E. MG小象灯芯绒加厚棉服女2018新款冬季外套中长款粉色修身女士棉衣; F. 全新配色GRKC恐龙龙骨T恤JONY J男女同款宽松情侣国潮短袖bf风; G. 古伊萱2019春季新款潮女式粉色珍珠花朵菱格纹单肩斜挎ins包包; H. Franco Sarto 春夏新款舒适平底凉鞋绕带绑带凉鞋C0432; I. 哈森春季女鞋韩版百搭休闲鞋女 平跟单鞋 小蜜蜂小白鞋女HS78202; J. 韩都衣舍2019春装新款女装韩版宽松假两件毛衣针织衫ONH8107煜,style_theme_match,"[""category_completion""]",3.0,3.0,"The input outfit consists of casual shorts and white sneakers, establishing a casual, youthful aesthetic. The ground-truth T-shirt (GRKC brand, BF style) aligns with this casual, street-style theme, whereas other candidates are either formal, seasonal mismatches, or different accessory categories.",weak_or_no_rule_signal,B,0,G,0,C,0
